Currency,Rate (CAD per unit)
Australian dollar,0.9902
Brazilian real,0.2756
Chinese renminbi,0.2035
European euro,1.6072
Hong Kong dollar,0.1762
Indian rupee,0.01449
Indonesian rupiah,0.000078
Japanese yen,0.008690
Malaysian ringgit,0.3492
Mexican peso,0.07993
New Zealand dollar,0.8107
Norwegian krone,0.1493
Peruvian new sol,0.4047
Polish zloty,0.3798
Singapore dollar,1.0810
South African rand,0.08468
South Korean won,0.000913
Swedish krona,0.1487
Swiss franc,1.7638
Taiwanese dollar,0.04395
Thai baht,0.04252
Turkish lira,0.03020
UK pound sterling,1.8639
US dollar,1.3804
