Currency,2026‑05‑25,2026‑05‑26,2026‑05‑27,2026‑05‑28,2026‑05‑29
Australian dollar,0.9902,0.9898,0.9871,0.9876,0.9914
Brazilian real,0.2756,0.2749,0.2735,0.2738,0.2732
Chinese renminbi,0.2035,0.2035,0.2040,0.2037,0.2039
European euro,1.6072,1.6059,1.6093,1.6082,1.6090
Hong Kong dollar,0.1762,0.1763,0.1765,0.1763,0.1761
Indian rupee,0.01449,0.01443,0.01445,0.01443,0.01452
Indonesian rupiah,0.000078,0.000078,0.000078,0.000078,0.000077
Japanese yen,0.008690,0.008670,0.008670,0.008670,0.008660
Malaysian ringgit,0.3492,0.3483,0.3488,0.3471,0.3480
Mexican peso,0.07993,0.07979,0.07968,0.07965,0.07952
New Zealand dollar,0.8107,0.8063,0.8155,0.8178,0.8258
Norwegian krone,0.1493,0.1490,0.1491,0.1491,0.1492
Peruvian new sol,0.4047,0.4050,0.4055,0.4048,0.4052
Polish zloty,0.3798,0.3792,0.3801,0.3803,0.3804
Singapore dollar,1.0810,1.0810,1.0830,1.0815,1.0811
South African rand,0.08468,0.08435,0.08452,0.08490,0.08504
South Korean won,0.000913,0.000917,0.000923,0.000923,0.000917
Swedish krona,0.1487,0.1483,0.1491,0.1490,0.1494
Swiss franc,1.7638,1.7582,1.7590,1.7590,1.7656
Taiwanese dollar,0.04395,0.04393,0.04404,0.04399,0.04396
Thai baht,0.04252,0.04228,0.04241,0.04237,0.04243
Turkish lira,0.03020,0.03010,0.03010,0.03010,0.03010
UK pound sterling,1.8639,1.8579,1.8581,1.8551,1.8567
US dollar,1.3804,1.3812,1.3831,1.3809,1.3798
